id,name,description,data_type,value_json,lang_code,is_active,cr_by,cr_dtimes
10001,bloodType,Blood Type,string,"[
	{
		""code"": ""101"",
		""value"": ""A"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""102"",
		""value"": ""A+"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""103"",
		""value"": ""A-"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""104"",
		""value"": ""B"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""105"",
		""value"": ""B+"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""106"",
		""value"": ""B-"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""107"",
		""value"": ""AB"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""108"",
		""value"": ""AB+"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""109"",
		""value"": ""AB-"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""110"",
		""value"": ""O"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""111"",
		""value"": ""O+"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""112"",
		""value"": ""O-"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""113"",
		""value"": ""Don't Know"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""114"",
		""value"": ""Not Applicable"",
		""langCode"": ""eng"",
		""active"": true
	}
]",eng,True,superadmin,2021-04-05 07:19:36.116378
10002,maritalStatus,Marital Status,string,"[
	{
		""code"": ""101"",
		""value"": ""Single"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""102"",
		""value"": ""Married"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""103"",
		""value"": ""Widowed"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""104"",
		""value"": ""Divorced"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""105"",
		""value"": ""Legally Separated"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""106"",
		""value"": ""Annulled"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""107"",
		""value"": ""Nullified"",
		""langCode"": ""eng"",
		""active"": true
	}
]",eng,True,superadmin,2021-04-05 07:19:36.116378
10003,registrationType,Registration Type,string,"[
	{
		""code"": ""Document-based"",
		""value"": ""Document-based"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""Introducer-based"",
		""value"": ""Introducer-based"",
		""langCode"": ""eng"",
		""active"": true
	}
]",eng,True,superadmin,2021-04-05 07:19:36.116378
10004,modeOfClaim,Mode of Claim,string,"[
	{
		""code"": ""101"",
		""value"": ""Pick-up"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""102"",
		""value"": ""Delivery to permanent address"",
		""langCode"": ""eng"",
		""active"": true
	},
	{
		""code"": ""103"",
		""value"": ""Delivery to present address"",
		""langCode"": ""eng"",
		""active"": true
	}
]",eng,True,superadmin,2021-04-05 07:19:36.116378
f7f79e5a-530b-4a32-b950-9d19e41ea169,gender,Gender,string,"[{""code"":""MLE"",""value"":""Male"",""langCode"":""eng"",""active"":true},{""code"":""FLE"",""value"":""Female"",""langCode"":""eng"",""active"":true},{""code"":""OTH"",""value"":""Others"",""langCode"":""eng"",""active"":true}]",eng,True,110127,2021-04-05 09:04:04.249377
8e96d455-e01b-45a9-a38f-8c7dd81e2b98,gender,جنس تذكير أو تأنيث,string,"[{""code"":""MLE"",""value"":""ذكر"",""langCode"":""ara"",""active"":true},{""code"":""FLE"",""value"":""أنثى"",""langCode"":""ara"",""active"":true},{""code"":""OTH"",""value"":""آحرون"",""langCode"":""ara"",""active"":true}]",ara,True,110127,2021-04-05 09:04:24.240064
67af09d6-f704-487c-8962-666a9134e1bd,gender,Le genre,string,"[{""code"":""MLE"",""value"":""Mâle"",""langCode"":""fra"",""active"":true},{""code"":""FLE"",""value"":""Femme"",""langCode"":""fra"",""active"":true},{""code"":""OTH"",""value"":""Autres"",""langCode"":""fra"",""active"":true}]",fra,True,110127,2021-04-05 09:04:39.350717
f5ee4289-c38c-4828-a323-d83214c6dc5c,residenceStatus,Residence Status,string,"[{""code"":""NFR"",""value"":""Resident"",""langCode"":""eng"",""active"":true},{""code"":""FR"",""value"":""Non-Resident"",""langCode"":""eng"",""active"":true}]",eng,True,110127,2021-04-05 09:05:25.023895
2a7c6296-f828-4153-97bf-491457121026,residenceStatus,حالة الإقامة,string,"[{""code"":""NFR"",""value"":""مقيم"",""langCode"":""ara"",""active"":true},{""code"":""FR"",""value"":""غير مقيم"",""langCode"":""ara"",""active"":true}]",ara,True,110127,2021-04-05 09:05:41.71806
d8038a47-8001-4cb4-839a-3894ea122673,residenceStatus,Statut de résidence,string,"[{""code"":""NFR"",""value"":""Résident"",""langCode"":""fra"",""active"":true},{""code"":""FR"",""value"":""Non-résident"",""langCode"":""fra"",""active"":true}]",fra,True,110127,2021-04-05 09:05:58.188082
