app_id,key_validity_duration,is_active,cr_by,cr_dtimes,upd_by,upd_dtimes,is_deleted,del_dtimes
PRE_REGISTRATION,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
REGISTRATION,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
REGISTRATION_PROCESSOR,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
IDA,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
ID_REPO,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
KERNEL,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
ROOT,1826,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
BASE,730,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
PMS,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
DATASHARE,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
CREDENTIAL_SERVICE,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
RESIDENT,1095,t,mosipadmin,2020-12-23 14:36:34.733857,,,,
