code,name,descr,bmtyp_code,lang_code,is_active,cr_by,cr_dtimes
TM,Thumbs,Print of Left and Right Thumbs,FNR,eng,t,superadmin,2020-12-23 14:36:53.080866
RH,Right Slab,Print of Right Slab,FNR,eng,t,superadmin,2020-12-23 14:36:53.080866
LH,Left Slab,Print of Left Slab,FNR,eng,t,superadmin,2020-12-23 14:36:53.080866
LI,Left Iris,Print of Left Iris,IRS,eng,t,superadmin,2020-12-23 14:36:53.080866
RI,Right Iris,Print of Right Iris,IRS,eng,t,superadmin,2020-12-23 14:36:53.080866
TM,አውራ ጣት,የግራ እና የቀኝ አውራ ጣት አሻራ,FNR,amh,t,superadmin,2020-12-23 14:36:53.080866
RH,ቀኝ መዳፍ,የቀኝ መዳፍ አሻራ,FNR,amh,t,superadmin,2020-12-23 14:36:53.080866
LH,ግራ መዳፍ,የግራ መዳፍ አሻራ,FNR,amh,t,superadmin,2020-12-23 14:36:53.080866
LI,ግራ የአይነን ብሌን,የግራ የአይነን ብሌን አሻራ,IRS,amh,t,superadmin,2020-12-23 14:36:53.080866
RI,ቀኝ የአይን ብሌነን,የቀኝ የአይን ብሌነን አሻራ,IRS,amh,t,superadmin,2020-12-23 14:36:53.080866
