code,name,descr,lang_code,is_active,cr_by,cr_dtimes
FRS,Finger Print Scanner,For scanning fingerprints,eng,t,superadmin,2020-12-23 14:36:46.66078
FRS,የጣት አሻራ ማንሻ,የጣት አሻራ ማንሻ  የጣት አሻራ ለማንሳት,amh,t,superadmin,2020-12-23 14:36:46.66078
IRS,Iris Scanner,For scanning Iris,eng,t,superadmin,2020-12-23 14:36:46.66078
IRS,የአይን ብሌን ማንሻ,የአይን ብሌን አሻራ ለማንሳት,amh,t,superadmin,2020-12-23 14:36:46.66078
CMR,Camera,For capturing photo,eng,t,superadmin,2020-12-23 14:36:46.66078
CMR,ካሜራ,ፎቶ ለማንሳት,amh,t,superadmin,2020-12-23 14:36:46.66078
SCN,Document Scanner,For scanning documents,eng,t,superadmin,2020-12-23 14:36:46.66078
SCN,የሰነድ ማንሻ,ሰነዶችን ለማንሳት,amh,t,superadmin,2020-12-23 14:36:46.66078
PRT,Printer,For printing Documents,eng,t,superadmin,2020-12-23 14:36:46.66078
PRT,የህትመት ማሽን,ለሰነዶች ህትመት,amh,t,superadmin,2020-12-23 14:36:46.66078
