hierarchy_level,hierarchy_level_name,lang_code,is_active,cr_by,cr_dtimes
0,Country,eng,t,superadmin,2020-12-23 14:36:51.621006
0,ሀገር,amh,t,superadmin,2020-12-23 14:36:51.621006
1,Region,eng,t,superadmin,2020-12-23 14:36:51.621006
1,ክልል,amh,t,superadmin,2020-12-23 14:36:51.621006
2,Zone,eng,t,superadmin,2020-12-23 14:36:51.621006
2,ዞን,amh,t,superadmin,2020-12-23 14:36:51.621006
5,Kebele,eng,t,superadmin,2020-12-23 14:36:51.621006
5,ቀበሌ,amh,t,superadmin,2020-12-23 14:36:51.621006
3,City,eng,t,superadmin,2020-12-23 14:36:51.621006
3,ከተማ,amh,t,superadmin,2020-12-23 14:36:51.621006
4,Woreda,eng,t,superadmin,2020-12-23 14:36:51.621006
4,ወረዳ,amh,t,superadmin,2020-12-23 14:36:51.621006
