code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
ORO,Oromia,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
ORO,ኦሮሚያ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
AMH,Amhara,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
AMH,አማራ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
AFR,Afar,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
AFR,አፋር,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
SOM,ሶማሌ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
TGI,Tigray,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
GML,Gambela,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
GML,ጋምቤላ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
DRW,Dire Dawa,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
DRW,ድሬዳዋ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
BGZ,Benishangul-Gumuz,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
BGZ,ቤኒሻንጉል-ጉሙዝ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
AAB,Addis Abeba,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
AAB,አዲስ አበባ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
SNN,Southern Nations Nationalities and People's Region,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
W01,Woreda-01,4,ወረዳ,BLE,amh,t,superadmin,2020-12-23 14:36:52.700461
W01,Woreda-01,4,Woreda,BLE,eng,t,superadmin,2020-12-23 14:36:52.700461
SNN,የደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
HAR,Harari,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
HAR,ሀረሪ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
SDM,Sedama,1,Region,ETH,eng,t,110011,2021-02-10 07:55:07.585804
SDM,ሲዳማ,1,ክልል,ETH,amh,t,110011,2021-02-10 07:55:07.585804
ADK,Addis Ketema,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
ADK,አዲስ ከተማ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
ARK,Arada,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
ARK,አራዳ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
GKK,Gullele,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
GKK,ጉለሌ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
KKK,Kirkos,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
KKK,ቂርቆስ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
KKE,Kolfe Keranio,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
KKE,ኮልፌ ቀራንዮ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
LKK,Lideta,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
LKK,ልደታ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
NSK,Nifas Silk-Lafto,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
NSK,ኒፋስ ስልክ ላፍቶ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
YKK,Yeka,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
YKK,የካ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
BOL,Bole,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
BOL,ቦሌ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
LMK,Lemi Kura,2,Zone,AAB,eng,t,110011,2021-02-10 07:55:07.585804
LMK,ለሚ ኩራ,2,ዞን,AAB,amh,t,110011,2021-02-10 07:55:07.585804
WAR,West Arsi,2,Zone,ORO,eng,t,110011,2021-02-10 07:55:07.585804
